DEN_Z_URB,avg_CO_2_per_road,CO_2_alpha,avg_NO_x_per_road,NO_x_alpha,avg_PM_per_road,PM_alpha,avg_VOC_per_road,VOC_alpha
Eroi,30.914604679995954,1.308896472876702,0.02441076484980314,1.219434620611234,0.0009069895243614378,1.3999017511185194,0.11397939792828479,1.206834338109556
Morena,45.69179019992708,1.3796725879773948,0.028145217865844067,1.379998342248505,0.0007114688616886906,1.372779621511581,0.13557840975679564,1.3601492475319292
Tuscolano Sud,25.401593762174166,1.4547071910832232,0.02120141524187983,1.6039726397689975,0.0009211474862888555,1.5572634355749875,0.09126569939502964,1.6252739590883538
Aventino,34.22095893997975,1.2189607890719727,0.025028747585307532,1.4423265485329528,0.0011027105566500108,1.3918014623289665,0.09676351712352321,1.4409082501936235
Sacco Pastore,21.57996491736513,1.0139080365680262,0.01544357601370593,1.000000000642143,0.0005267724475340414,1.2973270027646664,0.07702025769745015,1.000000000210565
Appio,63.32746032067105,1.6660050486530826,0.04794182675598431,1.6684148952062179,0.0029446658118022118,1.4473362788956883,0.1875087223778347,1.6934978953038047
Torpignattara,37.875555406903494,1.5562537849369797,0.03426956832506903,1.5421020955827283,0.0007057652374024352,1.5121366663577673,0.2028712594037274,1.7408616290121244
Spinaceto,133.66583150072128,1.469324613881593,0.06096673396619191,1.445320904448838,0.0009474273439502722,1.4174405046840275,0.2926075093134136,1.6229523494760085
Castel Porziano,451.9864530256936,1.2346179607760075,0.17757129072091438,1.2852260071169215,0.00197369197044187,1.213086924819589,0.9103094366440364,1.3106013168524229
Decima,1158.6028767693056,1.3642951726876342,0.3475679925146302,1.222068861834263,0.002566149441248094,1.2146948196964424,1.8989228203050699,1.434974654380154
Castel Romano,418.9860113873664,1.3480584176726835,0.14467707364694155,1.1339632887719029,0.0017541178806516,1.3266708866214512,0.8109502889180426,1.1818478200517015
Centro Direzionale Centocelle,21.546964710785282,1.19547877175863,0.013102580178743514,1.1876708403818264,0.0005801216870519556,1.093317449960089,0.06077632507721217,1.2915250680468433
Monte Sacro,17.956527710761,1.1061341423392903,0.013836995376269692,1.173062435048887,0.0005667490491269927,1.4090108432954058,0.0630256270956277,1.0876937543748106
Tre Fontane,25.58791362522394,1.2396920693030125,0.0180143052283115,1.239478216357093,0.00074375714899234,1.4826156186059114,0.08824617328190067,1.2453747137194293
Salario,38.486190702622174,1.4895264278925628,0.030757411529963186,1.5801264773450219,0.0014444977892449121,1.3559361412365802,0.09479061709073086,1.226629316523973
Trastevere,45.1759673575756,1.5787146512455816,0.034411678884254816,1.619860929630172,0.0017725078701870277,1.4526607754004104,0.12398352935480514,1.436970336675158
Massimina,100.27201113226187,1.5132448131817835,0.04955470259762233,1.3359413037945913,0.0007152077446851826,1.5534895203827985,0.2915163283763157,1.2568366422373878
Villaggio Olimpico,31.41124967453826,1.38512187533996,0.020348467402605337,1.4239263031131268,0.0006630765928143971,1.3879253023530538,0.09600185794783428,1.3227601972810077
Pineto,60.36998378024215,1.000000537175601,0.04898805461211201,1.0082307549549876,0.0019812633699524077,1.0665580409638669,0.15968567622513502,1.0000000009579508
Don Bosco,19.73662608092874,1.5064529007316185,0.02491781957328923,1.7537341343056982,0.0006058096742179099,1.6755555302399179,0.07871015023065182,1.2611826057855846
Garbatella,17.384482648573027,1.6815998719592247,0.012650395527789854,1.6309011300911629,0.000514018665472213,1.6155937738050201,0.05885137498962461,1.5608429637727168
Tiburtino Nord,19.37292860740393,1.3059930986935213,0.01355170727537936,1.2015837693436002,0.00038255878770683603,1.4729771136565055,0.07454086338031228,1.1729733812567797
Centocelle,15.644812941050954,1.5364139079194081,0.01429175728056743,1.5841148721347162,0.0008750662464978411,1.6775649027980142,0.06695177093777083,1.173564634669322
Alessandrina,16.404358830549118,1.2156050829531446,0.012697152895030452,1.2614220451391087,0.0003101203303676902,1.578914176874672,0.07350738757622621,1.2959922922723521
Tor Tre Teste,23.079755395066503,1.000002227978956,0.017127744074576755,1.0208734878330377,0.0004958796977631275,1.0085855563811146,0.09038211079770882,1.1026582306511157
Conca d'Oro,18.227548835987456,1.0593785720141906,0.01546926720597481,1.1109055368333187,0.0003908826321377161,1.3311457644298035,0.08856826864765244,1.1661490876944063
Val Melaina,16.789682959193406,1.4912810861097332,0.013395003016854009,1.4336440792033573,0.00035338415739976254,1.5756336022969446,0.07268350227897699,1.4718814352643383
Casal de' Pazzi,16.61536094825525,1.2045315798210778,0.012986666277868849,1.3183632103076457,0.0003453014462334123,1.5742650656185782,0.07321975114380125,1.432441958011939
Quadraro,14.63471760438303,1.1848977354278563,0.011605745686207123,1.1572571100194982,0.00038443717240038347,1.3641153631622944,0.058113167089110226,1.147816377758311
Valco S. Paolo,22.620857080244473,1.4063966054306554,0.014788461931048685,1.4069135718933452,0.0005714481764863321,1.4313458725031363,0.06440046392078777,1.1076390109659786
Borghesiana,19.153268749722177,1.4828682231380004,0.013491942454993402,1.4214227847691534,0.00035842807997777776,1.5673069862749367,0.06665896152698123,1.492943935068512
Latino,18.98307386347928,1.344851671060976,0.016262041299279436,1.3621772227766336,0.0005596537946014072,1.444176268397103,0.07833356492450785,1.3562445085685653
Ostiense,27.532902008319997,1.1375443445958349,0.019364132695852302,1.0802790164944052,0.0009097078046668434,1.3348490040051395,0.07286532867457411,1.0000000026595828
Torrespaccata,92.77747437375433,1.5403141407308425,0.07012100570932757,1.5663266871147339,0.004682344950197238,1.4747528229510405,0.2787990483556938,1.6167469523772433
Ostia Nord,23.02203441057445,1.663883910059018,0.01750441090403303,1.6383120320963345,0.0003982743696569338,1.6902933921156542,0.10126579300292858,1.625923299915677
Infernetto,22.89329578004867,1.5336056942021048,0.014711148469710706,1.562803881578377,0.0003585289252521721,1.5878695494698833,0.07209159324494144,1.5701376576373676
Palocco,12.590561973178847,1.6168958598906649,0.008827288970211204,1.5822302146899936,0.0001879752106995025,1.7113697487464377,0.05176938591470914,1.6308820829173145
Ostia Sud,17.99043339958777,1.6585613237946313,0.014229441865062009,1.5811623913873754,0.00036748686394938175,1.7108637822768504,0.07967697259417335,1.6801692631460674
Acilia Sud,50.44036699571844,1.70462825078522,0.02766963586658845,1.7667173105250447,0.0005710107060223176,1.6464275843232867,0.14363954656975253,1.7320165996570211
Castel Fusano,64.99294214868546,1.1337680571623692,0.0332748880246967,1.1155309584572755,0.0007656912894246998,1.215459941975002,0.14669816588624962,1.1876325484681345
Corviale,23.189323626411188,1.2118799473247484,0.01706346889769077,1.2044069335587113,0.0004810843952280842,1.4318454939382086,0.09271925411405484,1.2449974581475596
Colli Portuensi,31.982429585915494,1.2666466444648552,0.025205152140613366,1.2572120573389882,0.0007725557869620585,1.4435784915288628,0.1281577809788076,1.5340005766951295
Villa Pamphili,75.07364334344864,1.0645353193299545,0.040889127757254756,1.7499285888380738,0.0016581615336896465,1.0000000000007931,0.17331798864674056,1.8657020779014952
Gianicolense,23.305869588041833,1.4022023963936827,0.018239918195153353,1.5989255130889881,0.0007384851085197973,1.543319061517163,0.08127889139065013,1.533089110694493
La Storta,110.69548266530037,1.4264560181716595,0.04681295609782743,1.6307219930054058,0.0006824263223394214,1.6004679970669238,0.24532530418580162,1.581154658236417
Cesano,229.99547527122377,1.4614427187421288,0.08593266864862813,1.5347128801476804,0.0009494978066839742,1.4364874849931297,0.3864749149056919,1.5872086224545559
Ostia Antica,58.969880722676,1.493838435018715,0.031081900768616774,1.5454924136653079,0.0008343876312266301,1.4619504586325993,0.1557786920423526,1.5867843720388004
Tor di Valle,94.1804233789444,1.0000641514857707,0.044598438503469326,1.129895313413348,0.0008251877575611987,1.0000000000008462,0.24860321125616675,1.2463192876476064
Celio,43.33074634153764,1.3223983865209892,0.031438877970456136,1.2747256694424325,0.0018677433207440102,1.3588194135917835,0.10764096180483339,1.1358562670013561
Tufello,13.5348818136409,1.008850264706854,0.01528176872067796,1.1994214678581343,0.001319975221454813,1.5125407519543796,0.06667596384385248,1.0000000007433343
Grottaperfetta,14.084396844898057,1.344339943985387,0.009981233065539349,1.368033910603246,0.00030546930268857874,1.4315364562919952,0.05212879703888623,1.2820553941321529
S. Maria di Galeria,80.4029103179858,1.1459488231975228,0.03458458695044085,1.179784156136179,0.0006195183693124731,1.1801138320589346,0.17395917930266303,1.1914311845161956
Marconi,29.456588145375573,1.396212031574084,0.024678587827613736,1.2980423467409705,0.0007919596520278713,1.4933575245200186,0.12352155933898012,1.1862898211002342
Malafede,41.10613090686015,1.5104798271459199,0.02319391724064558,1.5074157484694473,0.000447958544797887,1.5299974554551556,0.12562714741364575,1.4983920023095425
Martignano,400.8449024955432,1.3008180381723569,0.20928372338918658,1.338997884403886,0.003779646388826071,1.0820738396564724,0.9617310523899505,1.368015137451897
Porta Medaglia,97.29520303358412,1.3128398447521805,0.05693330144416325,1.342738645611366,0.0013006559053419982,1.2104822063778036,0.23183597118263952,1.3802450703132887
Acilia Nord,14.448890173013428,1.5625362392100868,0.010400059168449076,1.5083074879731941,0.00024284612575349934,1.5261170167580906,0.06053881155947736,1.5590780027118285
Testaccio,15.72169873480163,1.0448346859630675,0.011884854395111425,1.0000000000857237,0.0003932765477012679,1.2782379837568612,0.055306365260096656,1.0000000000339715
Santa Palomba,44.530281887922676,1.0000143982418894,0.0283148802664283,1.0675267206812507,0.0008694096170558436,1.0723338757237455,0.13263057085605187,1.155539351041174
Villaggio Giuliano,10.137862161329362,1.1397492736539077,0.008422463078776053,1.1680256346307516,0.00018506204531331888,1.0000000000153668,0.05087548031536574,1.3010201915226787
